#{"t_start": 1763544255.1246347, "env_id": "None"}
r,l,t
115.208046,70,328.116841
118.61739,92,328.438345
-483.16986,642,328.76516
-1119.5057,726,328.790118
-560.1219,780,328.85694
-1318.7653,1600,328.975617
-1561.983,1600,329.282381
140.79587,71,329.384058
131.6219,99,329.596003
93.72951,81,329.650505
-185.39981,706,329.835824
146.57578,63,329.910086
-1624.6044,1600,331.970202
105.025764,165,332.332496
-120.17703,472,332.434429
-199.4699,530,332.702493
-657.5072,268,332.769068
116.583694,146,332.804992
109.07936,120,332.994254
164.10597,52,333.221158
181.47581,29,333.45532
106.22385,149,333.949086
-375.56564,490,333.959279
-1317.1947,1600,334.202565
-400.22403,46,334.329939
123.93508,258,334.478651
-368.8477,383,334.710726
-50.427277,414,334.791768
-88.13997,466,335.219384
-876.8122,704,335.359251
-771.31354,787,335.76903
-386.79416,691,336.106203
118.91534,76,336.507688
72.77681,249,336.695624
-250.39162,469,337.072422
136.27489,62,337.129576
116.90114,68,337.381497
-378.78583,27,337.401417
-366.7215,28,339.324667
98.169716,84,339.520504
-379.8828,54,339.528851
112.84902,68,339.9061
-28.594715,328,340.01049
-677.81976,1183,340.558507
-399.72238,555,340.724031
-523.8573,590,341.283341
158.38292,65,341.838212
-548.53204,463,341.94688
-214.1363,868,342.395508
93.87779,81,342.616215
-164.37843,634,342.73628
-1022.05414,1600,342.978539
-340.76544,737,343.043066
-297.48514,558,344.271392
-952.6175,583,344.467559
-172.59555,246,346.068257
139.11316,83,346.446738
-430.30795,78,346.737924
-191.68817,673,346.889143
-209.95958,439,347.370646
-1423.1173,1384,347.473018
-453.00516,131,347.555751
177.67035,45,347.744151
-182.02803,436,347.910339
-427.2818,1235,348.277878
-404.65805,111,348.395644
116.19875,105,348.431206
176.7948,38,348.58801
184.7156,28,348.818493
155.07611,66,348.923539
-3338.7092,1475,349.219908
163.22792,32,349.48161
8.796966,205,349.605136
160.4985,32,349.735874
-73.62777,381,350.023405
-393.15533,983,350.054577
-485.57016,214,350.159577
72.24652,86,350.290211
143.4508,51,350.436586
114.104355,62,350.553296
138.47722,69,350.71551
-28.329435,377,350.81432
126.9504,62,353.090388
206.16792,24,353.17164
-68.297455,268,353.271314
91.27824,60,353.695036
-1315.1573,1600,353.724243
-758.2823,1038,353.933401
184.22546,29,353.984965
-698.7129,340,354.745071
108.83102,107,354.901007
40.60275,193,354.94701
52.554893,220,355.011667
-102.08537,353,355.919693
136.59543,118,356.169158
